St#9 FF bearings check,Bearings checked out ok -Operator reporting no issues with spindle,,,,,,H21,N,10/4/16,1200,10/5/16,700,Gio Reyes,Anthony Paolillo,,D22978,station/ spindle/ bearing/ operator,,issue,check/ ok,,
Wire connections at rear of conveyor exposed -Safety,Rewired Conveyor and mag scraper,wire_connection/ conveyor,expose,rewire,conveyor/ mag_scraper,,H27,N,10/4/16,1200,10/8/16,,Alex Reyes,Anthony Paolillo,,ARC1009,conveyor/ wire/ connector/ rear/ safety/ scraper,,,,,
Stripped screw in St#6 tool head,Removed and replaced,,,remove/ replace,,,H25,N,10/4/16,1400,10/5/16,1200,Sam Jett,Anthony Paolillo,,KS6020,station/ screw/ head/ tool,,strip,replace/ remove,,
X14 Main Motor converter alarm -Will not go into Auto,Replaced bad motor starter,,,,,,Mikron,N,10/4/16,1400,10/11/16,1400,Ryan Schuler,Jon Cousineau,,BW1000,motor/ starter,,broken/ alarm,replace,main/ auto,
Bar loader loading bar ends,Replaced encoder,bar_loader/ bar_end,fault,replace,encoder,,H39,Y,10/4/16,,10/4/16,,Ryan Schuler,Marcel Lefebvre,,D26018,loader/ encoder,,,replace,bar/ load,
Parts tracking requested for #5 and #11 / inverter knife housing,Completed,part_tracking/ inverter_knife_housing,request,complete,part_tracking,,H7,N,10/4/16,,10/7/16,1100,Ryan Schuler,Marcel / Tony,,D26036,part/ inverter/ housing,,,complete/ request,11/ track,
Chip conveyor jammed,Cleared -Removed bar ends and chip nest,chip_conveyor/ conveyor,jam,clear/ remove,bar_end/ chip,,H14,Y,10/5/16,600,10/5/16,915,Bruce Fletcher,Anthony Paolillo,,T7523,conveyor/ chip,,jam,remove/ clear,bar,
Cannot adjust reg wheel speed,Reviewed action with Orlando -No issue,,,,,,RM 223,Y,10/5/16,630,10/5/16,715,Jon Clark,Denis Kusiak,,D26035,wheel/ speed,,issue,adjust,,
120V drop requested for bench service,,,,no_action_taken,,,H22,,10/5/16,630,,,Tyler Cotter,,,AL2014,,,drop,request,,
Utility unit O/T fault,Replaced stripped belt at St#5 brushing unit and tensioned loose break on motor,utility_unit/ belt/ brake/ st_5,o/t_fault/ fault/ worn/ loose,replace/ tension,belt/ brake,,H34,Y,10/5/16,715,10/5/16,900,Sam Jett,Marcel Lefebvre,,AL2014,station/ unit/ motor/ belt/ brush,tension,fault/ loose/ strip,replace/ tension,,
Spindle #2 extension bearing broken,Repaired,,,repair,,,I18,N,10/5/16,1030,10/5/16,1230,Norm Neveux,Alex Breault,,H8900,spindle/ bearing,,broken,repair,,
Multiple leaks at Iemca -25 Gallons in 48 hours,Repaired,,,repair,,,I5,N,10/5/16,1030,10/5/16,1200,Norm Neveux,Alex Breault,,D22940,iemca,,leak,repair,,multiple/ hours
Table indexing on its own ……,Debris cleared from table indexing lucifer valve,table,auto_index,clear,debris,,H32,Y,10/5/16,1230,10/5/16,1300,Alex Reyes,Marcel Lefebvre,,KS6021,valve/ table/ index,,,clear,,
Dressing unit INOP -Jumping and hesitation,Swapped pump and motor with spare,,,,,,RM 224,Y,10/5/16,1300,10/5/16,1500,Jon Clark,Steve Andreozzi,,D26018,unit/ motor/ pump,,inoperable,swap,spare,
Inverter guard broken,Weld repair completed,inverter_guard/ inverter/ guard,broken,weld/ repair,inverter_guard,,H16,N,10/5/16,,10/5/16,1500,Bruce Fletcher,Roland Fontaine,,TRW,inverter/ guard,,broken,repair/ complete/ weld,,
PLC -CPU not ready,Replaced Siemens I/O module #12,,,,,,I1,Y,10/6/16,600,10/6/16,,Bruce Fletcher,Jon / Doug,,T8506,module/ plc,,,replace,12/ ready,
Tumbler Inop -Belt and motor mount broken,Motor purchased (10/6) Motor and belt installed (10/7),,,,,,Rosemont,Y,10/6/16,600,10/7/16,730,Bruce Fletcher,Mike Lowell,,,motor/ belt,,broken/ inoperable,install,10/ mount,
Grinding wheels not opening after grind,Bad microswitch replaced and set return screw,,,,,,RM 219,Y,10/6/16,700,10/6/16,715,Jon Clark,Denis Kusiak,,D26035,screw/ wheel,,broken,replace/ set,returning/ grind,
Accumulator leaking,Replaced seal at accumulator connection,accumulator,leak,replace,seal/ accumulator,,H19,N,10/7/16,600,10/7/16,800,Norm Neveux,John Murray,,ISO,accumulator/ connector,,leak,replace,seal,
1083 Thermal defect/Motor,Reset breaker to HP coolant pump,,,,,,TK2,Y,10/7/16,600,10/11/16,1400,Jared Watson,Jon Cousineau,,J1023,motor/ coolant/ pump/ breaker,,,reset,hp,
Hydraulic leak found by Doug -3.1 quill,Chip pressing on quill seal removed. Bronze seal patched woth Loctite Liquid Metal to prevent chips from getting against seal again,,,,,,I17,N,10/7/16,600,10/26/16,,Norm Neveux,Doug P / Jon,,ASR,hydraulic/ chip,,leak,remove,seal,
Electrical connection seal tites broken -Safety,,,,no_action_taken,,,MS32,N,10/7/16,600,,,Norm Neveux,,,Iemcas,connector/ electrical/ safety,,broken,,seal,
Brush unit not reversing correctly,Adjusted,brush_unit,will_not_return,adjust,brush_unit,,H14,Y,10/7/16,830,10/7/16,1400,Russ Francis,JPM / AP,,T7523,unit/ brush,,,adjust,,
Alarm # 300501 HS3 drive error in measuring circuit -Spindle Off,Jon Doug 10/27,,,,,,I17,N,10/7/16,830,10/27/16,,Norm Neveux,Jon Cousineau,,ASR,spindle,,alarm,,drive/ 10,
Loader not loading in Auto,Only happens when the fan is blowing cold air -Gerry Costa,,,,,,Deco 1,N,10/7/16,1015,,,Norm Neveux,Jon Cousineau,,D23009,loader/ air/ fan,,,,load/ auto,
Put original Vogel lube pump back on machine,Installed,,,install,,,Tsch 1,N,10/7/16,1045,10/7/16,,Jerry,Steve Andreozzi,,Denso,machine/ pump/ vogel/ lubrication,lubrication,,install,,
Collet fails to close at when loading 4 - 5 times per bar,Adjusted feeding pressure and ran releard mode,collet,will_not_close,adjust/ run,feed_pressure/ pressure/ learn_mode,,H32,N,10/7/16,1100,10/7/16,1300,Alex Reyes,John Murray,,KS6021,pressure/ collet,,,adjust,bar/ load/ feeding/ close/ run,
Oil leaks / Needs a cover,New cover installed,,,,,,H38,N,10/7/16,1400,10/11/16,1030,Tyler Cotter,Anthony Paolillo,,AL2014,oil/ cover,,leak,install/ need,new,
Cut Off unit difficult to adjust,Removed and restored to functional use,,,,,,H22,N,10/7/16,1400,10/13/16,1145,Tyler Cotter,Anthony Paolillo,,AL2014,unit,,,remove/ adjust,cut/ used,
Spindle #9 difficult to adjust,Replaced with new,,,,,,H34,N,10/7/16,1400,10/17/16,,Tyler Cotter,Anthony Paolillo,,AL2014,spindle,,,replace/ adjust,new,
Iemca -Guide channel position sensor,Actual -Disconnected Hydraulic line corrected,,,,,,I19,Y,10/7/16,1430,10/7/16,,Ryan Schuler,Sam Jett,,J1023,hydraulic/ sensor/ iemca/ line/ position/ guide/ channel,,,correct,,
Base leak,No Major Leak found -Percio reporting the was oil around the machine this weekend after having been shut down for a shift or two,,,,,,H30,N,10/11/16,630,10/11/16,1530,Gio Reyes,Alex Breault,,KS6011,machine/ base/ oil,,leak,,shut/ major/ shift,
Vogel lube leak fro pressure gauge,Leak addressed prior to arrival,,,,,,H30,Y,10/11/16,630,10/11/16,700,Gio Reyes,Marcel Lefebvre,,KS6011,pressure/ vogel/ lubrication,lubrication,leak,,,
No air present at Iemca,Found air regulator adjuster disassembled on lube tank and ruptured airline. Installed (temp) Parker air regulator and replaced airline -Ordering new FRL for this machine,,,,,,I18,Y,10/11/16,645,10/11/16,915,Norm Neveux,Jon Cousineau,,H8900,machine/ iemca/ air/ tank/ lubrication,air_line/ lubrication,rupture,replace/ install/ adjust,new/ frl,present
Actuators bearings in SP#1 and SP#2 whining (SP#2 was done 8/2),,,,no_action_taken,,,I19,N,10/11/16,1130,,,Norm Neveux,Jon Cousineau,,J1023,spindle/ bearing/ actuator,,,,,
HP Hydraulic line ruptured,Replaced hydraulic line to parts catcher,,,,,,I19,Y,10/11/16,1300,10/11/16,1500,Norm Neveux,Alex Breault,,J1023,hydraulic/ part/ line/ catcher,,rupture,replace,hp,
St#11 spindle bearings worn -AP confirmed,Replaced VE 26/80 with standard 26/80 -installed HSK spindle bearing package,,,,,,H20,Y,10/12/16,615,10/12/16,1400,Bruce Fletcher,Anthony Paolillo,,ISO,station/ spindle/ bearing,,worn,replace/ install,11/ hsk/ 26/ 80,
Turret alarms,Jose corrected upon arrival -Transport prox needs to read all the time,,,,,,I1,Y,10/12/16,615,10/12/16,600,Bruce Fletcher,Jon Cousineau,,T8506,turret/ prox,,alarm,need/ correct,transport/ time,
Table stuck at 1/2 table,Replaced 1/2 table solenoid,table/ half_table,stuck,replace,half_table/ solenoid_valve,,H11,Y,10/12/16,930,10/12/16,945,Bob Berthiaume,John Murray,,SN1000,table/ solenoid,,stuck,replace,,
Safety switches for cover diabled,Repaired switch by scraping brass retainer,,,,,,H21,N,10/12/16,930,10/31/16,,Ryan Schuler,Alex Breault,,D22978,safety/ cover,,,repair,switch,
Slug detection at #14 INOP / #10 CTS not working (Missing HSK cover),,,,no_action_taken,,,H8,N,10/12/16,930,,,Russ Francis,,,CS1001,cover,,inoperable/ missing,,10/ detection/ hsk/ 14/ working,
Pressure piston INOP,Repaired switch,,,,,,C54,Y,10/12/16,1100,10/13/16,1200,Mike Comptios,Roland Fontaine,,Lapping,pressure/ piston,,inoperable,repair,switch,
1083 Thermal defect/Motor,Jon diagnosed bad pump motor starter / Steve replaced,,,,,,TK2,Y,10/12/16,1330,10/12/16,,Jerry,Jon / Steve,,J1023,motor/ pump/ steve/ starter,,broken,replace,,
Accumulator check requested,Accumulator found at 30bar -No issue,accumulator,check ,no_problem_detected,,,H12,N,10/12/16,1400,10/12/16,,Gio Reyes,Steve Andreozzi,,T7552,accumulator,30bar,issue,check/ request,,
Chip conveyor INOP,Replaced bad breaker and cleared jam,chip_conveyor/ conveyor/ breaker,inoperable/ broken,replace/ clear,breaker/ jam,,I3,N,10/12/16,1400,10/12/16,,Ryan Schuler,Alex Breault,,Afco,conveyor/ chip/ breaker,,broken/ inoperable/ jam,replace/ clear,,
Bar clamping alarms at Sp#1,Determined to be non Maintenance -Bar feed stop was worn,bar_clamp/ sp_1/ bar_feed_stop/ operator,worn/ error/ alarm,train,operator,,I18,N,10/12/16,1400,,,Ryan Schuler,Jon Cousineau,,H8900,spindle/ clamp,,alarm/ worn,,bar/ feed/ stop,
Conveyor clutch slipping,Replaced discs,conveyor/ clutch,slip,replace,disc,,H7,Y,10/12/16,,10/12/16,615,Sinat Check,Anthony Paolillo,,D26036,conveyor/ clutch/ disc,,slip,replace,,
Center shaft severely worn,Replaced center shaft and all associated bearings,,,,,,A76,Y,10/12/16,,10/21/16,1130,Jorge Flores,Mike Lowell,,T7065,bearing/ shaft,,worn,replace,,
Cooling fan alarm -Vibration in electrical cabinet,Cleaned heat exchanger unit fans,,,,,,Tsch 2,Y,10/13/16,600,10/13/16,1000,Jon Clark,Jon Cousineau,,TRW,unit/ electrical/ fan/ cabinet,,alarm,clean,cooling,
Stripped screw in saw attachment,Sinat removed and replaced on 3rd shift,saw_attachment/ saw/ screw,strip,replace,screw,,H6,Y,10/13/16,600,10/13/16,600,Gio Reyes,,,D26035,screw/ saw/ attachment,,strip,replace/ remove,shift,
Robot controller has bad keys -need new,,,,no_action_taken,,,TK1,N,10/13/16,730,,,Ryan Schuler,,,J1023,controller/ key,,broken,need,new,
Add HP line to St#12,Installed,,,install,,,H15,N,10/13/16,1130,10/13/16,1300,Ryan Schuler,Anthony Paolillo,,CS1001,station/ line,,,install/ add,hp/ 12,
ST#5H threading unit requires rebuild,Special part being quoted by Hydromat (10/25) - Ordered (10/31) -,,,,,,H33,N,10/13/16,1130,,,Tyler Cotter,,,AL2014,station/ unit/ thread,,,rebuild/ order/ require,10,
Upper and lower XD making noise,Replaced both upper and lower XD heads -Units to be rebuilt,,,,,,H5,N,10/13/16,1430,10/15/16,,Russ Francis,John Murray,,CS1000,unit/ head/ cross_drill,,noise,replace/ rebuild,,
Coolant pump does not stay running,Reset overload breaker,,,,,,TK1,Y,10/14/16,600,10/14/16,,Bruce Fletcher,Jon Cousineau,,J1023,coolant/ pump/ breaker,,overload,reset,running,
No coolant flow,Tripped breaker because plug was kicked out,,,,,,H38,Y,10/14/16,600,10/15/16,,Bruce Fletcher,Anthony Paolillo,,AL2014,coolant/ breaker/ flow,trip,trip,,plug,
Magazine plate loose,Replaced missing screws,,,,,,H39,Y,10/14/16,,10/14/16,,Gio Reyes,Anthony Paolillo,,D26018,screw/ plate,,loose/ missing,replace,,
Operator broke 2.5mm allen tip in St#10 tool head clamp screw,Removed,,,remove,,,H25,Y,10/14/16,,10/14/16,,Sam Jett,Anthony Paolillo,,J1028,station/ screw/ operator/ head/ clamp/ tool,,broken,remove,10,
Coalescent for rinse tank INOP,Pump ok / leaking hose replaced / Replaced bad skimmer,,,,,,W99,N,10/14/16,,10/18/16,,Mike Comptios,Alex Breault,,,pump/ hose/ tank,,broken/ inoperable/ leak,replace/ ok,,
Rotary union on PO is siezed,Part arrived 10/18 - Installed 10/19,,,,,,A69,N,10/14/16,,10/19/16,1400,Sam Jett,Mike Lowell,,J1018,,,seize,install,10,
CNC unit stripped scew in tool clamp,Removed and replaced screw,,,remove/ replace,screw,,H32,N,10/15/16,600,10/15/16,,Bruce Fletcher,Anthony Paolillo,,KS6009,unit/ screw/ clamp/ tool/ cnc,,strip,replace/ remove,,
Spindle #5 collet key is loose,Replaced,,,,,,T92,Y,10/15/16,,10/15/16,,Mike LaHouse,Alex Breault,,K1002,spindle/ collet/ key,,loose,replace,,
Swap #5 motor for 1700,Swapped,,,swap,,,H25,S/U,10/17/16,,10/17/16,,Ryan Schuler,Anthony Paolillo,,J1028,motor,,,swap,,
Collet housing not aligned with key,Aligned,,,align,,,TK4,Y,10/17/16,,10/17/16,,Ryan Schuler,Jon Cousineau,,J1023,collet/ housing/ key,,,align,,
Offload conveyor belt worn,Replaced,offload_conveyor/ conveyor/ belt,worn,replace,belt,,I18,Y,10/17/16,,10/17/16,,Norm Neveux,Jon Cousineau,,H8900,conveyor/ belt/ offload,,worn,replace,,
Stuck in 1/2 table,Reset table and replaced sensor,table/ half_table,stuck,reset/ replace,table/ sensor,,H22,Y,10/17/16,,10/17/16,,Tyler Cotter,Marcel Lefebvre,,AL2014,table/ sensor,,stuck,replace/ reset,,
Chip conveyor INOP,Replaced broken clutch discs,chip_conveyor/ conveyor,inoperable,replace,clutch/ disc,,I2,Y,10/17/16,,10/17/16,,David Lippy jr,Alex Breault,,AF1004,conveyor/ chip/ clutch/ disc,,broken/ inoperable,replace,,
Q4 gib jammed,Tapped gib loose,,,,,,SC10,Y,10/17/16,,10/17/16,,Ryan Schuler,Jon Cousineau,,D26010,,,loose/ jam,,,
Excessive play in Regulating wheel action,Replaced Regulating wheel block and drive housing,,,,,,RM223,Y,10/18/16,600,10/18/16,1500,Jon Clark,Denis Kusiak,,D26005,wheel/ housing,,,replace,drive/ play/ regulating/ excessive/ block,
Hydraulics down Monday night,Replaced Auto Cycle limit switch and 12v control fuse,,,,,,RM219,Y,10/18/16,600,10/18/16,1200,Jon Clark,Jon Cousineau,,D26035,hydraulic/ fuse,,,replace,switch/ control/ cycle/ auto/ limit,
Turret axix alarms,Showed Jared how to clear,,,,,,I2,N,10/18/16,630,10/18/16,1630,Bruce Fletcher,Jon Cousineau,,AF1002,turret/ axis,,alarm,clear,,
Bearing check St#12 26/80,Bearings worn -New bearings installed on 26/80 spindle front end,,,,,,H23,N,10/18/16,630,10/18/16,1230,Russ Francis,Anthony Paolillo,,KS6022,station/ spindle/ bearing,,worn,check/ install,new/ 12/ end/ 26/ 80,
Accumulator check requested,LP at 10bar charged to 30bar / HP at 50bar OK,accumulator,check ,charge,accumulator/ low_pressure,,H40,N,10/18/16,630,10/18/16,830,Russ Francis,Anthony Paolillo,,KS6022,accumulator/ low_pressure,30bar,,check/ request/ charge/ ok,hp/ 50bar,
Split filter setup for Autoliv,Completed,,,complete,,,H29,N,10/18/16,630,10/19/16,1400,Tyler Cotter,Roland Fontaine,,AL2017,filter,,,complete/ setup,,
Leak under machine -will require base removal,,,,no_action_taken,,,H34,N,10/18/16,630,,,Tyler Cotter,,,AL2014,machine/ base,,leak,require,,
#3 recess unit spindle bearings check,Installed shelf recess spindle (was for H29 AL2017 S/U),,,,,,H25,S/U,10/18/16,900,10/18/16,1200,Ryan Schuler,John Murray,,J1028,unit/ spindle/ bearing/ shelf,,,check/ install,,
Iemca hydraulic tubes leaking -again,New tubes (in stock) ordered 10/19 Installed 10/22,,,,,,I5,N,10/18/16,1030,10/22/16,,Sam Jett,Jon Cousineau,,D22940,hydraulic/ iemca/ tube/ stock,,leak,install/ order,new/ 10,
Incomplete table indexing,,table,will_not_index,no_action_taken,,,Mikron,N,10/18/16,1030,,,Sam Jett,,,BW1000,table/ index,,,,,
Air manifold leaking at rear of machine,Repaired with new gasket,,,,,,I2,Y,10/18/16,1300,10/18/16,1430,Sam Jett,Jon Cousineau,,AF1002,machine/ air/ rear,,leak,repair,new,
Install chip scraper,Installed,,,install,,,T92,N,10/18/16,1415,10/20/16,,Sam Jett,Jon Cousineau,,K1002,chip/ scraper,,,install,,
Iemca accumulator NOK,Replaced with sotck accumulator,accumulator/ lemca,broken,install,accumulator,,I18,Y,10/18/16,1500,10/18/16,,Norm Neveux,Alex Breault,,H8900,accumulator/ iemca/ stock,,broken,replace,,
Operator cannot remove filter,Removed/ cleaned/ and replaced -Took 8 hours!,,,,,,Ewag,Y,10/19/16,600,10/19/16,1400,Ted Coppa,Jon Cousineau,,,operator/ filter,,,replace/ remove/ clean,,hours
Bottom XD leaking hyd,Replaced bottom XD head and valve,,,,,,H5,Y,10/19/16,600,10/19/16,900,Bruce Fletcher,Anthony Paolillo,,CS1000,valve/ hydraulic/ head/ cross_drill,,leak,replace,,
CNC hydraulic filter changed,NNZX3 Filter,,,,,,H15,N,10/19/16,700,10/19/16,705,Sam Jett,Sam Jett,,CS1001,hydraulic/ filter/ cnc,,,,,
Bar feeder chain catching on guard housing,Guard mounting bracket found loose. All tensioned and guards put back in place,bar_feeder/ chain/ guard_house/ guard/ mounting_bracket,stuck/ loose,tension/ adjust,guard,,H27,Y,10/19/16,915,10/19/16,930,Sam Jett,Anthony Paolillo,,ARC1009,chain/ feeder/ housing/ guard/ bracket,tension,loose,tension,bar/ mounting,
Accumulator check requested,LP at 25bar (OK) chaged to 30bar / HP at 50bar (OK),accumulator,check ,charge,accumulator/ low_pressure,,H25,S/U,10/20/16,615,10/20/16,1200,Gio Reyes,Anthony Paolillo,,J1028,accumulator/ low_pressure,30bar,,check/ request/ ok,hp/ 50bar/ 25bar,
Y1 Axis encoder cable NOK -Faulting machine,Cable replaced and axis referrenced,,,,,,Deco 3,N,10/20/16,615,11/3/16,1400,Norm Neveux,Jon Cousineau,,D23009,machine/ cable/ axis/ encoder,,broken/ fault,replace,,
St#6 spindle bearings check,Replaced pulley adapter sleeve,,,,,,H25,S/U,10/20/16,630,10/20/16,1100,Ryan Schuler,Anthony Paolillo,,J1028,station/ spindle/ bearing/ pulley,,,replace/ check,,
Bar feeder chain broken,Replaced links X3 and tensioned accordingly,bar_feeder/ chain/ bar,broken,replace/ tension,link/ x3,,H32,Y,10/20/16,630,10/20/16,830,Sam Jett,Anthony Paolillo,,KS6009,chain/ feeder,tension,broken,replace/ tension,bar,
Iemca slow / Short parts,Steve Salley adjusted operating pressures!!,,,,,,SC3,N,10/20/16,700,10/20/16,,Ryan Schuler,Jon Cousineau,,TRW,pressure/ part/ iemca/ steve,,short/ slow,adjust,,
Coolant leak,,coolant,leak,no_action_taken,,,H39,N,10/20/16,700,,,Ryan Schuler,Anthony Paolillo,,D26018,coolant,,leak,,,
Short parts when loading,Feed length issue -Not Maintenance,,,,,,I18,Y,10/20/16,930,10/20/16,1230,Norm Neveux,Jon Cousineau,,H8900,part,,issue/ short,,feed/ load,
Main tool slide rolls loose,,,,no_action_taken,,,T99,N,10/20/16,930,,,Mike LaHouse,,,J1029,tool/ slide,,loose,,main,
St#2 Tool Detection INOP,Replaced by Russ -Unit found on H15,tool_detector/ detector,inoperable,,,,H23,N,10/20/16,1030,10/20/16,1230,Russ Francis,,,KS6022,station/ unit/ tool/ person,,inoperable,replace,detection,
Smog Hog connection?,Replaced gate with reducer,,,,,,H40,N,10/20/16,1030,10/26/16,,Russ Francis,Steve Andreozzi,,ARC1010,connector/ gate,,,replace,,
Water pump NOK,Bad pump,,,,,,Tumblers,N,10/20/16,1130,10/20/16,,Mike Comptios,Alex Breault,,,pump/ water,,broken,,,
Tool detection wire possibly bad,Wire issued to Tony to install on laser TD,,,,,,H29,S/U,10/20/16,1145,10/20/16,1200,Tyler Cotter,Marcel Lefebvre,,AL2017,tool/ wire/ person/ laser,,broken,install,detection,
HP coolant pump will not shut off,Replaced bad contactor,,,,,,TK1,Y,10/20/16,1230,10/20/16,1245,Sam Jett,Alex Breault,,J1023,coolant/ pump/ contactor,,broken,replace,hp/ shut,
Table drifting,Table valve OK-Indexing rack needs rebuild (10/26) -Indexer rebuilt (11/15),table,drift,rebuild,indexing_rack,,H24,N,10/21/16,600,11/15/16,1400,Russ Francis,Anthony Paolillo,,1008,valve/ table/ index/ rack,,,ok/ rebuild/ need,11/10/26,
St#3 recess unit bearings,Recess unit rebuild,,,,,,H8,Y,10/21/16,630,10/21/16,,Jerry,Marcel Lefebvre,,CS1001,station/ unit/ bearing,,,rebuild,,
St#5V valve issue -Needs an Inf approach valve,Installed,,,install,,,H29,S/U,10/21/16,700,10/21/16,800,Tyler Cotter,Anthony Paolillo,,AL2017,station/ valve,,issue,install/ need,,
Major leak at dressing unit,Replaced dresser control valve with rebuilt unit,,,,,,RM223,N,10/21/16,730,10/24/16,730,Jon Clark,Denis Kusiak,,D26015,unit/ valve,,leak,replace/ rebuild,control/ major,
#12 brushing unit INOP,Replaced contactors (JG) Motor replaced by Steve,st_12/ brush_unit,inoperable,replace,motor/ contactor,,H34,Y,10/21/16,1115,10/21/16,1800,Tyler Cotter,Jerry / Steve,,AL2014,unit/ motor/ brush/ contactor/ steve,,inoperable,replace,12,
Hyd leak at #10 valve,Replaced Orings under valve -One missing,,,,,,H28,N,10/21/16,1115,10/24/16,1050,Alex Reyes,Anthony Paolillo,,KS6011,valve/ hydraulic,,leak/ missing,replace,10,
Table index O/T faults,,table_index/ table,fault/ o/t_fault,no_action_taken,,,H2,N,10/21/16,1115,,,Sam Jett,Steve Andreozzi,,T7524,table/ index,,fault,,,
Table index O/T faults,,table_index/ table,fault/ o/t_fault,no_action_taken,,,H37,Y,10/21/16,1115,,,Sam Jett,Steve Andreozzi,,D22978,table/ index,,fault,,,
Counter INOP,Connected loose wire,counter,inoperable,,,,A77,N,10/21/16,1300,10/24/16,1600,Jorge Flores,Alex Breault,,NB1021,wire/ counter,,inoperable/ loose,,,
Catch pan grate needed,Completed,,,complete,,,H29,S/U,10/21/16,1400,10/25/16,,Tyler Cotter,Anthony Paolillo,,AL2017,,,,complete/ need,,
Chip conveyor overload warning,,chip_conveyor/ conveyor,overload/ alarm,no_action_taken,,,H26,N,10/21/16,1400,,,Tyler Cotter,,,AL2014,conveyor/ chip,,overload,,,
Filter can lid damaged,Weld repair made,,,,,,H15,N,10/21/16,1430,10/21/16,1500,Russ Francis,Alex Breault,,CS1001,filter,,broken,repair/ weld,,
Motor loose on St#12 brushing unit,Tensioned bolts,motor/ st_12/ brush_unit,loose,tension,bolt,,H34,Y,10/22/16,,10/22/16,500,Sinat Check,Anthony Breault,,AL2014,station/ unit/ motor/ brush/ bolt,tension,loose,tension,12,
Cut Off valve leak,Replaced O Rings on valve and plate,,,,,,H14,N,10/22/16,,10/24/16,900,Sinat Check,Anthony Paolillo,,T7523,valve/ plate/ ring,,leak,replace,cut,
Laser TD NOK / Coolant pump BRK tripping / Table moving with lid open,Replaced cable for laser / Plugged in coolant pump / Alex reports No Table Issue at This Time,laser_td/ coolant_pump_breaker/ table,inoperable/ trip/ out_of_adjustment,replace/ plug,cable/ coolant_pump,,H29,S/U,10/24/16,600,10/24/16,700,Tyler Cotter,Marcel Lefebvre,,AL2014,coolant/ table/ pump/ cable/ person/ laser,trip,broken/ issue/ trip,replace/ report,open/ time,
Coolant leak,No leak -Oil is coming from H21 with no skirt,,,,,,H30,N,10/24/16,600,,,Dave Buehler,,,KS6011,coolant/ oil,,leak,,,
Alarm : Turn CNC off/on will not clear,Alarm cleared,,,,,,Deco 1,Y,10/24/16,615,10/24/16,1000,Norm Neveux,Jon Cousineau,,D23009,cnc,,alarm,clear,turn,
Coolant missing alarm,Replaced coolant missing prox,,,,,,I19,Y,10/24/16,615,10/24/16,,Norm Neveux,Jon Cousineau,,J1023,coolant/ prox,,alarm/ missing,replace,,
Stripped screw in saw attachment,Replaced diff screw and clamps,saw_attachment/ saw/ screw,strip,replace,screw/ clamp,,H3,Y,10/24/16,700,10/24/16,1155,Sam Jett,Anthony Paolillo,,D26018,screw/ clamp/ saw/ attachment,,strip,replace,,
Adjusting dowels on both verical risers need to be replaced,,,,no_action_taken,,,H20,S/U,10/24/16,730,10/29/16,,Ryan Schuler,Marel Lefebvre,,CS1002,vertical,,,replace/ adjust/ need,,
Accumulator check,LP ruptured bladder -replaced / HP at 40bar charged to 50bar,accumulator/ low_pressure/ high_pressure/ bladder,check/ rupture/ low,replace/ charge,bladder/ low_pressure/ high_pressure,,H6,Y,10/24/16,,10/24/16,1240,Sam Jett,Anthony Paolillo,,D26018,accumulator/ low_pressure/ bladder,,rupture,replace/ check/ charge,hp/ 50bar,
Leak tester dryer NOK,Replaced solenoid,,,,,,AIM Rm 1,,10/24/16,,10/28/16,,Bob Davignon,Steve Andreozzi,,TRW,solenoid,,broken/ leak,replace,,
Hydraulic pressure not coming up,Replaced hydraulic pump motor,,,,,,I18,Y,10/25/16,600,10/25/16,1500,Bruce Fletcher,Jon Cousineau,,H8900,motor/ hydraulic/ pump/ pressure,,,replace,,
Inverter issues / Accumulator (replaced yesterday) pressure spiking,Replaced accumulator,inverter/ accumulator,broken/ high,replace,accumulator,,H6,Y,10/25/16,600,10/25/16,900,Sinat Check,Anthony Paolillo,,D26035,accumulator/ pressure/ inverter,,issue,replace,,
Light above machine is out (LED? Light stack? Center light?),Replaced ballast and bulbs,,,,,,H24,N,10/25/16,600,10/26/16,1200,Russ Francis,John Murray,,CS1008,machine/ light,,,replace,,
Feed Overide switch NOK,,,,no_action_taken,,,Ewag,N,10/25/16,900,,,Roger Getter,Denis Kusiak,,,,,broken,,switch/ feed,
Need a pin pin for the saw,Tyler/Sam repaired after pin was provided,pin/ saw,request,repair,pin,,H27,Y,10/25/16,1100,10/25/16,,Russ Francis,,,ARC1009,saw/ pin,,,repair/ need,,
Chip conveyor jam,Cleared by Operator,chip_conveyor/ conveyor,jam,clear,jam,,I1,N,10/25/16,1215,10/25/16,1330,Sam Jett,Alex Breault,,T8506,conveyor/ chip/ operator,,jam,clear,,
Rag in oil pump (?),Rag removed from pump shaft,,,,,,A76,N,10/26/16,600,10/26/16,700,Jorge Flores,Mike Lowell,,T7065,pump/ oil/ shaft,,,remove,,
Indicate W / U alignment,Ailignment in excess of .004 - W axis linear motor/ rails/ carraiges/ and magnets replaced 10/28-10/29,,,,,,Tsch 1,N,10/26/16,600,10/29/16,1500,Jon Clark,Denis / Alex / Jon,,Denso,motor/ axis,,,replace,10/ excessive,
Loader motor issue -Actual,,,,no_action_taken,,,I5,Y,10/26/16,600,,,Sam Jett,Jon Cousineau,,CS1002,motor/ loader,,issue,,,
Losing parts in chute,Moved the parts chute,,,,,,H20,N,10/26/16,,10/26/16,645,Jeff Rusk,Anthony Paolillo,,CS1002,part/ chute,,,,move,
