Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
9/7/16,H,H22,Saw unit to be replaced ,Saw,Using smaller dia C/O blades; Saw unit to be replaced,Cut off unit swapped with shelf unit,"unit, saw, shelf",,,"replace, swap",cut,
9/7/16,Anca,Anca,Wheel change arm INOP,Wheel,Wheel change arm INOP,Repaired,wheel,,inoperable,repair,change,
9/8/16,H,H3,Broken chain on feeder,Feeder,Broken feeder chain,Repaired,"chain, feeder",,broken,repair,,
9/8/16,H,H10,Brush unit INOP,Brush Unit,Sensor cable on brushing unit NOK,Replaced cable,"unit, sensor, cable, brush",,broken,replace,,
9/8/16,A,A77,Loose shaft,,Right shaft very loose ( ??????????????????????),HS Change shaft;  New shaft and bearings installed. Spacer added due to wear and age of the machine,"bearing, machine, shaft",,loose,"install, add","new, change",
9/8/16,H,H7,Pendant screen INOP,Pendant,Pendant blank; Fuse?,Replaced fuse and replaced coil connector on loading valve solenoid,"valve, fuse, connector, solenoid, pendant, coil",,,replace,load,
9/9/16,H,H10,Accumulator check requested,Accumulator,Accumulator check requested,Found acceptable at 34bar; reduced to 30bar (standard),accumulator,30bar,,"check, request",,
9/9/16,NM2,NM2,Step on C/O face end,,Step on C/O face end,Checked for axis play in Sub Spindle and found .003 in SS Z axis (9/9) New ball screw installed on 9/12 but issue when referencing axis / Adam Yuschak guided Jon through referencing and limit setting procedure,"spindle, screw, axis, ball, guide",,issue,"check, install","new, 12, end, limit, play",
9/9/16,H,H24,Broken chain on feeder,Feeder,Broken feeder chain,Chain not broken but had fallen off; Reset by Russ!,"chain, feeder, person",,broken,reset,,
9/9/16,H,H26,Coolant Pressure Low,Coolant System,Coolant pressure is low,Replaced check valve at HP pump,"valve, coolant, pump, pressure",,,"replace, check","hp, low",
9/9/16,SC,SC1,Oil chiller fault,Oil System,Oil chiller faulting when too hot,Removed chiller for coil cleaning and review and replaced controller / OSM in to charge compressor,"oil, controller, coil",,fault,"replace, remove, charge, clean",hot,
9/9/16,TK,TK4,Base leak,Base,Base leak at exhaust hood,Operator reporting no leak when reviewed,"base, operator",,leak,,,
9/9/16,Ewag,Ewag,Z Axis high following error,Axis,Very high Z axis following error,Adjusted offset and following error settings to compensate,axis,,,adjust,high,
9/9/16,H,H34,Vogel leak,Vogel,Vogel lube leak,Replaced leaking leaking pressure gauge uppon arrival,"pressure, vogel, lubrication",lubrication,leak,replace,,
9/9/16,I,I17,Gripper not picking up parts,Gripper,Gripper sensor INOP,Replaced gripper sensor cable,"sensor, cable, gripper",,inoperable,replace,,
9/9/16,I,I5,Bad channel tracks,,Bad Channel tracks at #3 and #5; Loading manually,,channel,,broken,,"track, load",
9/9/16,I,I5,Coolant Pressure Low,Coolant System,HP coolant flow at 200 psi; should be 400psi,Attempted to adjust air pressure but unable to increase above 300psi (9/15),"coolant, pressure, air, flow",,unable,adjust,hp,
9/9/16,RM,RM 223,Hydraulic Leak,Hydraulic System,Hyd leak from dressing unit,,"unit, hydraulic",,leak,,,
9/9/16,H,H7,Oil leak,Oil System,Oil leak from (??) St#3 valve is slowing by itself,,"station, valve, oil",,"leak, slow",,,
9/9/16,I,I3,Stops mid cycle/ spindle speed not reached/ starts when placed in auto,,Stops mid cycle / Spindle speed not reached / Starts when placed in Auto,,"spindle, speed",,,,"stop, cycle, auto",
9/9/16,I,I17,Track broken,,Track #2 broken,,,,broken,,track,
9/10/16,Ewag,Ewag,Air leak,Air System,Air leak at rear of machine,Installed temp union on air line; ordering newe air line,"machine, air, line, rear",,leak,install,new,
9/10/16,H,H14,Bearings noise,Bearings,St#12 Loud bearing noise,Replaced spindle drive assembly and seals,"station, spindle, bearing",,noise,replace,"drive, 12, seal",
9/10/16,H,H5,Broken screw/ Broken proximity cable,Screw,St#5 broken screws in brush unit / broken prox cable,Repaired,"station, unit, screw, cable, prox, brush",,broken,repair,,
9/10/16,H,H7,Vertical won t home,,St#3 vertical won t home,Repaired,"station, vertical",,,repair,"won, home",
9/12/16,H,H4,Bearings check,Bearings,Check bearings at St#12,Rebuilt with new bearings and seals,"station, bearing",,,"check, rebuild","new, 12, seal",
9/12/16,H,H10,Bearings check,Bearings,Check bearings at St#10,"Bearings, seals, drive bushing replaced; Unfortunetely, this did not cure the R/O condition","station, bearing",,,"replace, check","drive, 10, seal",
9/12/16,Sinico,Sinico,Coolant Leak,Coolant System,Coolant pump leak,Mechanical seal worn (9/12) Pump ordered (9/13) Pump delivered 9/19 installed 9/20,"coolant, pump",,"leak, worn","install, order","12, seal, 20, 13",
9/12/16,H,H18,Power pack pump loud,Power Pack,Power pack pump is screaming,H18 was down because the operators believed the pump was making a high pitched sound. Steve and I started the pump and found it to be the oil pipe resonating and not the pump. Changed the filter and it went away. Leng started warming up for 3rdshift.,"pump, operator, oil, filter, steve",,,,"power, pack, high",
9/12/16,H,H27,Table indexing slowly,Table,Dropping parts / table indexing slowly,Ruptured internal hose in PP; J Cousineau picking up new hose at Handelman (9/13) Installed 9/14 but damaged heat exchanger in process; Hose mfg to bypass HE until new part is obtained,"table, part, hose, index",,"broken, rupture, drop, slow",install,"new, 14, 13",
9/12/16,H,H38,Hydraulic Leak,Hydraulic System,Hyd leak from behind collet #6,Repaired,"hydraulic, collet",,leak,repair,,
9/12/16,I,I2,Hydraulic Leak,Hydraulic System,Hydraulic leak turret 2,Replaced hydraulic hose,"hydraulic, turret, hose",,leak,replace,,
9/12/16,,,Oil leak,Oil System,Oil chilling system spilling behind I5,Air is system!; Letting it bleed out,"air, oil",,,,,
9/12/16,H,H26,Hydraulic Leak,Hydraulic System,Hyd leak St#2 valve,Replaced leaking O Ring,"station, valve, hydraulic, ring",,leak,replace,,
9/12/16,H,H40,Hydraulic Leak,Hydraulic System,Hydraulic leak,Replaced O Rings at table manifold and Inverter return lines #2 and #5.,"hydraulic, table, inverter, ring",,leak,replace,returning,
9/12/16,RM,RM224,Excessive noise from Regulating wheel,Wheel,Grinding noise from Reg wheel spndle,Rebuilt with new bearings and seals; Installed 9/13,"spindle, bearing, wheel",,noise,"install, rebuild","new, seal, 13",
9/12/16,H,H26,Bearings check,Bearings,Bearings check requested at ST#5V,Spindle bearings OK; Milling attachment bearings worn; Unit rebuilt,"station, unit, spindle, bearing, attachment, mill",,worn,"check, request, ok, rebuild",,
9/12/16,I,I19,Actuator bearings screaming,Actuator,Spindle #1 actuator whining,,"spindle, actuator",,,,,
9/12/16,H,H14,Loud Noise,,St#12 making loud noise,,station,,noise,,12,
9/13/16,H,H26,Bolts Broken,Bolt,St#5V retaining bolts broken in retainer,Removed and replaced all but two; Too difficult to remove without damaging plate,"station, plate, bolt",,broken,"replace, remove",,
9/13/16,H,H15,Filter change requested,Filter,CNC filter replaced NNZX3,Issued to Dave,"filter, cnc",,,replace,,
9/13/16,Mikron,Mikron,Motor fault,Motor,Motor not spinning when turned on; Electrical,Replaced bad spindle motor,"motor, spindle, electrical",,broken,replace,turned,
9/13/16,Clean Room,Clean Room,Vacuum pump INOP ,,Vacuum pump INOP,Replaced with new pump. Pump runs and draws 28 in HG vacuum,pump,,inoperable,replace,new,
9/13/16,H,H26,Hydraulic Leak/ accumulator check requested ,Hydraulic System,Hyd leak at St#2 / Accumulator check,Valve repaired / Accumulator bladder replaced,"station, valve, hydraulic, accumulator, bladder",,leak,"replace, repair, check",,
9/13/16,H,H4,Vogel lube fault,Vogel,Vogel lube faults,Wire detached in electrical cabinet,"vogel, wire, lubrication, electrical, cabinet",lubrication,fault,,,
9/14/16,Ewag,Ewag,A Axis will not reference home,Axis,A axis will not reference home,Replaced A axis HOME sensor / Adjusted Z axis offset / Aligned B axis / Aligned A axis (9/14),"sensor, axis",,,"replace, adjust, align","home, 14",
9/14/16,I,I17,Broken cabinet fan,Cabinet Fan,Broken cabinet fan,Replaced INOP cooling fan; Running,"fan, cabinet",,"broken, inoperable",replace,"running, cooling",
9/14/16,I,I19,Broken cabinet fan,Cabinet Fan,Broken cabinet fan,Remounted fan; Running,"fan, cabinet",,broken,,running,
9/14/16,H,H5,Valve not firing ,Valve,St#6 Top XD not firing; Valve not firing,Russ reporting he believes an operator turned off the valve,"station, valve, operator, cross_drill, person",,,,"turned, firing",
9/14/16,I,I19,Alarm,,Contactors K10 and K11 pickups not allowed,No alarm when present and unable to trace (9/14),contactor,,"alarm, unable",,14,present
9/14/16,H,H10,Bearings check,Bearings,Check bearings at St#8,9/14; told not to worry about it by Gio Reyes,"station, bearing",,,check,14,
9/14/16,Sinico,Sinico,Hydraulic Leak,Hydraulic System,Hyd leak at locking pin assy,Replaced O Ring and seal on locking pin assy,"hydraulic, pin, ring",,leak,replace,"seal, locking",
9/14/16,I,I17,Main Drive Alarm ,,Main drive Not Ready Alarm,Swapped Performance modules X3 before alarms cleared,module,,alarm,"clear, swap","drive, main, ready, performance",
9/14/16,H,H1,Machine running hot/ Bearing check,Bearings,Machine running hot / Bearing check at St#6,Heat not an issue according to Steve / JPM exchanged 26/80 front spindle drive and bearings; quick change unit,"station, unit, spindle, bearing, machine, steve, person",,issue,check,"drive, running, change, hot, 26, 80",
9/14/16,H,H26,,Drill Detector,Drill detection wire detached from module connection,Reattached,"drill, wire, connector, module",,,,detection,
9/14/16,H,H30,Table index faults,Table,Table index O/T faults (Only when overhead roof fan is ON) ?,,"table, index, fan",,fault,,,
9/15/16,I,I17,Drive heat sink temperature exceeded,Drive Fault,HS4 Drive heat sink Temp exceeded,Replaced LT Module and cooling fan,"module, fan",,,replace,"drive, cooling",
9/15/16,H,H29,Motor fault,Motor,Broken pulley hub screw in brush unit motor,Removed and replaced screw,"unit, motor, screw, brush, pulley, hub",,broken,"replace, remove",,
9/15/16,A,A76,High Speed change shaft loose,High Speed Change Shaft,High Speed change shaft loose,Replaced HS change shaft and bearings; Also rebuilt main drive pulley shaft,"bearing, shaft, pulley, speed",,loose,"replace, rebuild","drive, main, change, high",
9/15/16,H,H3,Broken wire ,Wire,Damaged drill detection wire; false detections reported,Replaced suspected bad wire to tool detection,"tool, drill, wire",,broken,"replace, report",detection,
9/16/16,H,H5,Accumulator check requested,Accumulator,Accumulator check requested for parts spinning in collet at EM position,HP Accumulator was low; > charged,"accumulator, part, collet, position",,,"check, request, charge","hp, low",
9/16/16,H,H31,Chip conveyor INOP,Chip Conveyor,Chip conveyor jammed,Cleared chip jam,"conveyor, chip",,jam,clear,,
9/16/16,H,H27,Coolant Leak,Coolant System,Coolant leak,Cleaned area around machine base and monitored for leakage. Believed to be from leaking chip carts,"coolant, machine, chip, base",,leak,clean,,
9/16/16,H,H32,Coolant Leak,Coolant System,Coolant leak,Cleaned area around machine base and monitored for leakage. Believed to be from leaking chip carts,"coolant, machine, chip, base",,leak,clean,,
9/16/16,H,H6,Coolant HP line Needed,Coolant System,Add HP coolant fitting for St#7,Installed,"station, coolant, fitting",,,"install, add",hp,
9/16/16,H,H16,Inverter guard broken ,Inverter,Inverter guard broken,Welded,"inverter, guard",,broken,weld,,
9/16/16,H,H15,Tool breakage ,,St#14 milling arbor damaged from tool breakage,Mill head removed and arbor turned to reduce OAL. Reinstalled,"station, head, tool, mill",,broken,"remove, install","turned, 14",
9/16/16,H,H23,Power pack failure,Power Pack,Power Pack Motor failure,Purchased new motor from Jet Elect and installed / Accumulators charged,"motor, accumulator",,failure,"install, charge","new, power, pack",
9/16/16,H,H16,Part not seating in inverter bushing,Accumulator/ Inverter,Accumulator check requested; Part not seating into inverter bushing,All checked;  All ok,"accumulator, inverter",,,"check, request, ok",,
9/16/16,SC,SC7,Door will not close,Door,Rear door lock not working; Door OPEN,Jiggle sensor cable for DTCS 3 and alarm will clear (?),"sensor, cable, door, rear",,alarm,clear,"open, lock, working",
9/17/16,I,I5,Travel flag sensor INOP,LEMCA,Iemca flag prox cable broken,Replaced cable,"cable, iemca, prox, flag",,broken,replace,,
9/17/16,H,H40,Coolant Leak,Coolant System,Colant line leak,Missing gasket in main trunk line,"coolant, line",,"leak, missing",,main,
9/17/16,H,H15,Table drift,Table,Table drifting at 1/2 table setting,Rebuild table indexing valve,"valve, table, index",,,rebuild,,
9/17/16,H,H40,Power pack tripping breaker,Power Pack,Power Pack tripping breaker,Ref Baldor motor brought in from Jet / Bored and keyed coupling due to larger shaft on pump motor. No low pressure (9/19),"motor, pump, pressure, breaker, shaft",trip,trip,,"power, low, pack",
9/19/16,I,I17,Spindle not starting,Spindle,HS3 Spindle Not starting; Shut OFF,Bringing Doug Patrick in for cable replacement,"spindle, cable, replacement",,,,shut,
9/19/16,H,H33,Chip breaker valve requested,Valve,Chip breaker valve requested for st#7,Installed,"station, valve, chip, breaker",,,"request, install",,
9/19/16,H,H22,Chip Guard Request,Chip Guard,Add chip guards between #11 and #12,Installed,"chip, guard",,,"install, add","11, 12",
9/19/16,H,H38,Chip Guard Request,Chip Guard,Add chip guards between #11 and #12,Installed,"chip, guard",,,"install, add","11, 12",
9/19/16,Tsch,Tsch 1,Broken Clip,Clip,Plug in clip at rear of machine broken,Repaired,"machine, rear",,broken,repair,plug,
9/19/16,T,T92,Clutch out of adjustment,Clutch,Clutch needs adjusting,Adjusted and engaging,clutch,,,"adjust, need",,
9/19/16,H,H38,Vertical mill head loose,Vertical Mill,St#5 verical mill head loose,Rebuilt and installed,"station, head, vertical",,loose,"install, rebuild",,
9/19/16,H,H15,Table drift,Table,Table drift,See H15 9/22,table,,,,,
9/19/16,H,H5,,Drill,St#9 cross drilling incomplete 1 to 2 times daily,Two separate vales in use; Likely someone opened safety cover and interrupted cycle. Reviewed with Russ as OK,"station, valve, safety, cover, cross, person",,,ok,"cycle, used",
9/20/16,SC,SC10,Rot cam switch faults,Electrical,Rot cam switch faults,Replaced encoder (9/27) Replaced ER Module on 10/11 after seeing a spark when clearing fault,"module, encoder",,fault,replace,"switch, 11, 10",
9/20/16,TK,TK2,Coolant Leak,Coolant System,Leak at cooling radiator,Removed and cleaned heat exchanger; Leak repaired,,,leak,"repair, remove, clean",cooling,
9/20/16,H,H25,Inverter stuck,Accumulator/ Inverter,Accumulator check requested; Inverter getting stuck,Was 10bar low; > charged to 30bar,"accumulator, inverter",30bar,stuck,"check, request, charge",low,
9/20/16,H,H40,Power pack leak,Power Pack,Power pack tank emptied into machine,Replaced RVC check valve in collet release solenoid,"valve, machine, collet, tank, solenoid",,,"replace, check","power, pack",
9/20/16,H,H22,Hydraulic Leak,Hydraulic System,Hydraulic leak from power pack,Spray cleaned power pack to monitor for leaks (9/20) Dye added to PP tank (9/21) Seals replaced on two valves (9/22),"valve, hydraulic, tank",,leak,"replace, clean, add","power, seal, pack, 20",
9/20/16,H,H23,Valve INOP,Valve,St#8 Chip breaker valve INOP,Replaced chip breaker valve with new valve; Unit removed to be rebuilt,"station, unit, valve, chip, breaker",,inoperable,"replace, remove, rebuild",new,
9/21/16,TK,TK2,Coolant Leak,Coolant System,Ruptured hose at coolant pump,Replaced oil line,"coolant, pump, oil, hose, line",,rupture,replace,,
9/21/16,H,H39,Coolant Leak,Coolant System,Coolant leak? Oil on floor,Informed by operator there is no leak; HP coolant being deflected off part face and exiting through opening in spalsh ring,"coolant, operator, oil, ring, floor",,leak,,hp,
9/21/16,H,H30,Coolant Pressure Low,Coolant System,Low coolant pressure / Chip conveyor fault,Removed ring fitting and cleared rag debris that was clogging the system. No chip conveyor issue found.,"coolant, conveyor, chip, pressure, fitting, ring",,"fault, issue","remove, clear",low,
9/21/16,H,H22,Bar loader stops cutting part,Bar,Bar loader faulting on new bar end cutting,Operator reports a used saw was installed during the failures at the machine. JPM installed a new blade and set the saw stroke accordingly,"machine, operator, loader, saw, person, stroke",,"fault, failure","install, report, set","bar, new, end, used, cutting",
9/21/16,I,I1,Chip conveyor INOP,Chip Conveyor,Broken slatband in chip conveyor,Removed broken slat band and replaced while machine was online,"conveyor, machine, chip",,broken,"replace, remove",online,
9/21/16,H,H3,False tool breakage,Tool Detector,Repeat false tool breakage at St#10; Tool detector #2,Replaced antiquated tool detection unit controller with new PCS type,"station, unit, tool, detector, controller",,,replace,"new, 10, detection",
9/22/16,I,I17,Accumulator check requested,Accumulator,Accumulator charge at MS32,Charged accumulator to 50bar (was at 10bar),accumulator,,,charge,50bar,
9/22/16,I,I17,Iemca will not load in Auto,LEMCA,Iemca will not load in Auto,Replaced airline from regulator to upper gate cylinder,"iemca, cylinder, gate",air_line,,replace,"load, auto",
9/22/16,H,H26,Chip Guard Request,Chip Guard,Add chip guards between #11 and #12 / and between #1 and #2,Installed,"chip, guard",,,"install, add","11, 12",
9/22/16,Ewag,Ewag,Variance off center line,,.003-.004 variance off centerline ( ) Needs calibration,Juan Phon found wear in work holding collet and replaced,collet,,,"replace, need",,
9/22/16,H,H25,Control panel shut down,Misc,Control panel shut down; no screen,Machine single phasing; Blown fuse at switch gear bus disconnect; Replaced by Denis,"machine, fuse, gear, panel, screen",,blown,replace,"switch, control, shut",
9/22/16,TK,TK2,Loud screw ,Screw,Z axis ball screw noise,No Issue when lookked at,"screw, axis, ball",,"issue, noise",,,
9/22/16,H,H22,Drill detector INOP,Drill Detector,Drill detector outside machine is active and can shut machine down; Disable,Disabled at controller and sensore removed,"sensor, machine, drill, detector, controller",,,remove,shut,
9/22/16,Anca,Anca,Wheel change arm alarm,Wheel,Wheel change arm has moved off the extend (ilegible) Alarm 1406,Repaired,wheel,,alarm,repair,"change, move",
9/22/16,Esco,Esco,Counter INOP,Counter,"Counters INOP at ES1, ES5, and ES6",ES1 and ES5 (9/23),counter,,inoperable,,,
9/22/16,H,H8,Motor fault,Motor,ST#10 CNC motor not starting,See H8 9/23,"station, motor, cnc",,,,10,
9/22/16,H,H26,Turn off parts tracking request,,Turn off parts tracking at St#7 per Alex request,,"station, part, person",,,request,"track, turn",
9/23/16,C,CG231,Regulating wheel RPM high,Wheel,Operator connot lower Reg Wheel RPM,"Cleaned and lubricated, and replaced bearing ain variable speed adjuster; Tested OK","bearing, operator, wheel, speed",,,"replace, adjust, clean, ok",,
9/23/16,H,H7,Vertical not returning,,ST#3 vertical not returning,Replaced flow metering valve; was in wrong place,"station, valve, flow, vertical",,,replace,returning,
9/23/16,H,H36,Inverter failing to return,Inverter,Inverter not completing 180* rotation,Replaced invert housing and racks in inverter,"inverter, housing",,,replace,completing,
9/23/16,H,H8,Motor fault,Motor,ST#10V CNC motor not rotating,Swapped VFD motor with unit from CNC on H11; New motor ordered for H11,"station, unit, motor, cnc",,,"swap, order",new,
9/23/16,Tsch,Tsch 2,Coolant Pressure Low,Coolant System,No Colant for grinding,Replaced relay,"coolant, relay",,,replace,,
9/23/16,H,H31,Spindle not adjusting ,Spindle,Sp#3 adjusting handle too tight; Does not allow adjustment,"Removed spindle and cleaned spindle body, flange, adjusting rod.","spindle, rod, flange",,,"remove, adjust, clean",,
9/24/16,H,H5,Saw not completing cycle,Accumulator,Accumulator check requested; Saw not completing cycle,Replaced bad accumulator,"accumulator, saw",,broken,"replace, check, request","cycle, completing",
9/24/16,I,I19,Parts receiver broken,Parts Receiver,Parts receiver came apart,Repaired,part,,,repair,,
9/24/16,ES1,ES1,Machine shuts off on its own,,Machine shuts off on its own,,machine,,,,,
9/24/16,H,H16,Oil sight glass dirty,Oil System,Oil sight glass dirty and unreadable,,oil,,,,,
9/26/16,H,H23,Bar feeder chain broken,Bar,Bar feeder chain broken,Repaired,"chain, feeder",,broken,repair,bar,
9/26/16,H,H24,Threading unit overload,Threading Unit,St#11 threading unit overload,Replaced brake motor,"station, unit, motor, thread, brake",,overload,replace,11,
9/26/16,H,H16,Washer INOP,Washer,Washer INOP; Blower motor seized,Motor serviced by Jet and installed,motor,,"inoperable, seize",install,,
9/27/16,H,H16,Conveyor belt failure,Conveyor,Conveyor belt between machine and wash conveyor worn,Replaced,"conveyor, machine, belt",,worn,replace,,
9/27/16,H,H34,Oil leak,Oil System,Oil leak near backside of conveyor,Repaired cover from which oil was escaping onto the floor,"conveyor, oil, cover, floor",,leak,repair,,
9/27/16,H,H38,Hydraulic pump not getting oil,HP Pump,HP pump not getting enough oil; cavitating,Replaced HP inlet hose with larger diameter,"pump, oil, hose",,,replace,hp,
9/27/16,H,H30,Table index faults,Table,Table index O/T,Rebuilt Table indexing valve (9/27); Rebuilt table indexer and pulled table to replace all related seals (9/29),"valve, table, index",,,"replace, rebuild",seal,
9/27/16,H,H7,Inverter Fault,Inverter,Inverter faults,Operator adjusment was needed.,"operator, inverter",,fault,"adjust, need",,
9/27/16,Tsch,Tsch 1,Excessive noise from Regulating wheel,Wheel,excessive vibration from Reg Wheel,"Tuning the motor frequency and speeds did not correct vibration issue. Linear Motor, Magnet, and rails all replaced.","motor, wheel, speed",,issue,"replace, correct",excessive,
9/27/16,H,H39,Counter double counting,Counter,Counter is double counting,Monitored count and saw NO doubling while present,"saw, counter",,,,,present
9/27/16,H,H16,Parts hanging up,,Lower parts chute has hole in it; parts hanging up,Fabricated new and installed,"part, chute",,,install,new,
9/27/16,I,I17,Part ejector fault,Part Ejector,Parts ejector will not move,Removed jammed parts ejector,part,,jam,remove,,
9/27/16,TK,TK2,Parts loader falling off,Parts Loader,Parts loader falling off,Dylan put back together,"loader, part",fall,,,fall,
9/27/16,SC,SH8,Leaking smog hog,Smog Hog,Smog Hog over Tornos leaking,Leak repaired / Sludge removed and cells cleaned,,,leak,"repair, remove, clean",,
9/27/16,H,H40,Bar change O/T fault,Bar,Bar change O/T faults,,,,fault,,"bar, change",
9/27/16,H,H38,Bar loader dog will not reverse,Bar,Dog on bar loader will not go in reverse,,"loader, dog",,,,bar,
9/27/16,H,H33,Threading unit leaking,Threading Unit,RA threading unit leaking / Exposed wires on sensor cable,,"unit, sensor, cable, thread",,leak,,,
9/28/16,H,H14,Brush unit INOP,Brush Unit,Brushing unit INOP,Long search to find a shorted wire in brushing unit controler cable; Replaced cable,"unit, cable, brush, wire, controller",,inoperable,replace,,
9/28/16,H,H15,Filter change requested,Filter,CNC Filter change requested,Issued ZZN3x filter; Did not alleviate ID bore tearing,"filter, cnc",,,request,change,
9/28/16,H,H12,Hydraulic Leak,Hydraulic System,Hyd leak reported,Leaking hose connection found and tightened; Also charged accumulator,"hydraulic, accumulator, hose, connector",,leak,"charge, report, tighten",,
9/28/16,H,H22,Hydraulic Leak,Hydraulic System,"Hyd leaks; C/O unit, St#11 Valve, Collet #10 (Internal)",St#11 Seals replaced,"station, unit, valve, hydraulic, collet",,leak,replace,"11, 10, seal",
9/28/16,H,H31,Hydraulic Leak,Hydraulic System,Hydraulic leak at inverter st#8,Inverter rack seals need to be replaced (10/3) Completed (10/4),"station, hydraulic, inverter, rack",,leak,"replace, complete, need","10, seal",
9/29/16,H,H14,Brake Loose,Brake/ Threading Unit,Brake on thread unit needs adjusting; Loose,Found the brake to be OK. Difficult to overcome brake with wrench on lead screw spindle.,"unit, spindle, screw, thread, lead, brake",,loose,"adjust, ok, need",,
9/29/16,H,H22,Table index faults,Table,Table indexing faults / Loaded a bar tip,Replaced Seals and O Rings on control pivot,"table, index, ring",,fault,replace,"bar, control, seal",
9/29/16,H,H23,Inverter failing to return,Inverter,Inverter failing to return after collet closes,Invert valve rebuilt but actual caause was specers on the invert rod; Set too short,"valve, inverter, collet, rod",,"fail, short","rebuild, set",returning,
9/29/16,H,H15,Vibration,,ST#3 Vibration; Rebuild of Recess unit requested,Replaced St#3 recess spindle with rebuilt unit; Bearings tight!,"station, unit, spindle, bearing",,,"replace, request, rebuild",,
9/29/16,H,H3,Vogel lube fault,Vogel,Vogel lube fault,Replaced and wired in a serviced unit,"unit, vogel, lubrication",lubrication,fault,replace,,
9/29/16,H,H8,Tool detection INOP ,Tool Detector,St#14 tool detection INOP,,"station, tool",,inoperable,,"detection, 14",
9/30/16,H,H40,Chip conveyor INOP,Chip Conveyor,Chip conveyor INOP,Repaired and cleared,"conveyor, chip",,inoperable,"repair, clear",,
9/30/16,I,I5,Hydraulic lines replaced,Hydraulic System,Steel hydraulic lines at rear of Iemca require replacement,Replaced all believed to be in poor condition,"hydraulic, iemca, rear, replacement",,,"replace, require",,
9/30/16,Ewag,Ewag,Rebuild requested,,C axis variation to .0019; Rebuild requested,,axis,,,"request, rebuild",,
10/3/16,H,H27,Coolant Leak,Coolant System,Coolant leak at rear of machine,Base pulled; Skirt replaced,"coolant, machine, base, rear",,leak,replace,,
10/3/16,H,H26,Brush Unit belt needs to be replaced,Brush Unit,Brush unit belt needs to be replaced,Replaced,"unit, belt, brush",,,"replace, need",,
10/3/16,H,H33,Chip Guard Request,Chip Guard,Chip guards needed at 11/12,Bracket and mount are in place but no chip guard; imstalled 10/4,"chip, guard, bracket",,,"install, need","11, 10, 12, mount",
10/3/16,H,H35,Chip Guard Request,Chip Guard,Chip guards needed between 8-9,Installed,"chip, guard",,,"install, need",,
10/3/16,H,H36,Chip Guard Request,Chip Guard,Chip guards needed between 8-9,Installed,"chip, guard",,,"install, need",,
10/3/16,SC,SC8,Rot cam switch faults,Electrical,Rot cam switch faults Broken connector on lube tank sensor,,"sensor, tank, connector, lubrication",lubrication,"broken, fault",,switch,
10/3/16,H,H21,Table index faults,Table,Table index O/T faults,Gio reporting machine warmed up and no issue at present,"table, machine, index",,"fault, issue",,,present
10/3/16,RM,RM223,Dressing unit INOP,Dressing Unit,Dressing unit INOP; Jumping and hesitation,Believed to be fluctuating hydraulic pressure. New pump and motor ordered (10/3) Both installed (10/4),"unit, motor, hydraulic, pump, pressure",,inoperable,"install, order","new, 10",
10/3/16,H,H27,Stock clamp housing moving,Clamp,Stock clamp housing moving in machine; Broken screw?,Tightened the screws that hold the clamp in place!,"machine, screw, clamp, housing, stock",,broken,tighten,,
10/3/16,H,H31,Dead spots on touch screen,Misc,Dead spots on touch screen; Not always functional,,screen,,,,,
10/3/16,Tsch,Tsch 1,Mist collector spewing water,Mist Collector,Mist collector spewing water,,"water, collector",,,,,
10/3/16,H,H40,Power pack leak,Power Pack,Power pack dumped all oil,,oil,,,,"power, pack",
10/4/16,H,H15,Accumulator check requested,Accumulator,LP accumulator 20bar low / HP too high tank too hot,"Checked, charged and tagged accumulators / HP pressure setting was maxed out and adjusted to 1000psi by Marcel","accumulator, pressure, tank, low_pressure",,,"check, adjust, charge, tag","hp, low, 20bar, hot, high",
10/4/16,H,H27,Conveyor failure,Conveyor,Wire connections at rear of conveyor exposed; Safety,Rewired Conveyor and mag scraper,"conveyor, wire, connector, rear, safety, scraper",,,,,
10/4/16,H,H39,Bar loader not loading,Bar,Bar loader loading bar ends,Replaced encoder,"loader, encoder",,,replace,"bar, load",
10/4/16,Mikron,Mikron,Motor alarm,Motor,X14 Main Motor converter alarm; Will not go into Auto,Replaced bad motor starter,"motor, starter",,"broken, alarm",replace,"main, auto",
10/4/16,H,H21,Bearings check,Bearings,St#9 FF bearings check,Bearings checked out ok; Operator reporting no issues with spindle,"station, spindle, bearing, operator",,issue,"check, ok",,
10/4/16,H,H33,Threading unit smoking,Threading Unit,RA Threading unit at St#5 smoking,Checked 2x and finding no issue!,"station, unit, thread",,issue,check,,
10/4/16,FPI,FPI,Missing bolts,Bolt,Missing SS bolts holding gate in place,Drill and installed SS rivets,"drill, bolt, gate",,missing,install,,
10/4/16,H,H25,Broken screw,Screw,Stripped screw in St#6 tool head,Removed and replaced,"station, screw, head, tool",,strip,"replace, remove",,
10/4/16,I,I5,broken sensor cable,LEMCA,Remnant check sensor cable broken; Iemca,Two broken cables replaced,"sensor, cable, iemca",,broken,"replace, check",,
10/4/16,H,H7,Parts tracking requested,Inverter,Parts tracking requested for #5 and #11 / inverter knife housing,Completed,"part, inverter, housing",,,"complete, request","11, track",
10/5/16,H,H22,120V drop requested ,Electrical,120V drop requested for bench service,,,,drop,request,,
